stock,weight,sector
NWL,0.010715,Consumer Discretionary
NWS,0.006736,Communication Services
NWSA,0.021065,Communication Services
NXPI,0.146592,Information Technology
O,0.105929,Real Estate
ODFL,0.098152,Industrials
OGN,0.015857,Health Care
OKE,0.077719,Energy
OMC,0.043436,Communication Services
ON,0.112594,Information Technology
ORCL,0.465357,Information Technology
ORLY,0.152589,Consumer Discretionary
OTIS,0.097974,Industrials
OXY,0.123658,Energy
PANW,0.173356,Information Technology
PARA,0.020775,Communication Services
PAYC,0.037818,Information Technology
PAYX,0.106412,Industrials
PCAR,0.119021,Industrials
PCG,0.074772,Utilities
PEAK,0.030607,Real Estate
PEG,0.080607,Utilities
PEP,0.676481,Consumer Staples
PFE,0.539679,Health Care
PFG,0.046967,Financials
PG,0.984461,Consumer Staples
PGR,0.196971,Financials
PH,0.141503,Industrials
PHM,0.050011,Consumer Discretionary
PKG,0.036769,Materials
PLD,0.300973,Real Estate
PM,0.401307,Consumer Staples
PNC,0.137853,Financials
PNR,0.030927,Industrials
PNW,0.023056,Utilities
PODD,0.043466,Health Care
POOL,0.040116,Consumer Discretionary
PPG,0.087175,Materials
PPL,0.051053,Utilities
PRU,0.092919,Financials
PSA,0.120295,Real Estate
PSX,0.140824,Energy
PTC,0.040544,Information Technology
PWR,0.076581,Industrials
PXD,0.147572,Energy
PYPL,0.187491,Financials
QCOM,0.344513,Information Technology
QRVO,0.027858,Information Technology
RCL,0.060332,Consumer Discretionary
REG,0.026754,Real Estate
REGN,0.227881,Health Care
RF,0.051801,Financials
RHI,0.022319,Industrials
RJF,0.054894,Financials
RL,0.013406,Consumer Discretionary
RMD,0.069284,Health Care
ROK,0.091085,Industrials
ROL,0.025186,Industrials
ROP,0.138141,Information Technology
ROST,0.104803,Consumer Discretionary
RSG,0.080538,Industrials
RTX,0.337636,Industrials
RVTY,0.040809,Health Care
SBAC,0.065896,Real Estate
SBUX,0.312328,Consumer Discretionary
SCHW,0.256689,Financials
SEDG,0.026574,Information Technology
SEE,0.015386,Materials
SHW,0.171981,Materials
SJM,0.042056,Consumer Staples
SLB,0.223691,Energy
SNA,0.038175,Industrials
SNPS,0.175772,Information Technology
SO,0.201671,Utilities
SPG,0.103876,Real Estate
SPGI,0.341267,Financials
SRE,0.119974,Utilities
STE,0.060166,Health Care
STLD,0.043854,Materials
STT,0.06542,Financials
STX,0.034841,Information Technology
STZ,0.116328,Consumer Staples
SWK,0.039067,Industrials
SWKS,0.046013,Information Technology
SYF,0.040179,Financials
SYK,0.255088,Health Care
SYY,0.097651,Consumer Staples
T,0.270009,Communication Services
TAP,0.032131,Consumer Staples
TDG,0.121707,Industrials
TDY,0.048092,Information Technology
TECH,0.034898,Health Care
TEL,0.114822,Information Technology
TER,0.04438,Information Technology
TFC,0.111437,Financials
TFX,0.028572,Health Care
TGT,0.160819,Consumer Staples
TJX,0.266199,Consumer Discretionary
TMO,0.564961,Health Care
TMUS,0.212306,Communication Services
