,stock,class,p_values
226,HPE,increasing,"[6.357031517190137e-06, 0.0]"
227,HPQ,increasing,"[9.538278278320433e-08, 1.271774774380674e-08]"
228,HRL,decreasing,"[0.0, 0]"
229,HSIC,increasing,"[0.0, 0.0031526997100821408]"
230,HST,decreasing/RTC,"[1.0049512999543708e-08, 0.6978689597969618]"
231,HSY,increasing/RTC,"[0.0, 0.0]"
232,HUM,increasing/RTC,"[0.03963901535519798, 0.0065835059200718415]"
233,HWM,increasing,"[0.0, 0]"
234,IBM,decreasing/RTC,"[0.0005253567404921444, 5.329070518200751e-15]"
235,ICE,increasing,"[3.701283390888932e-08, 1.1945999744966684e-13]"
236,IDXX,increasing,"[0.0, 6.880831460165382e-10]"
237,IEX,decreasing,"[0.044285828004709815, 0]"
238,IFF,decreasing/RTC,"[1.4368682332843719e-07, 0.7587883540624065]"
239,ILMN,decreasing,"[2.2429135992929616e-07, 0]"
240,INCY,decreasing,"[1.5210055437364645e-13, 0]"
241,INTC,increasing,"[0.0, 0]"
242,INTU,increasing,"[0.0038225210692623968, 0.0]"
243,INVH,increasing,"[0.0028293772045642207, 0]"
244,IP,decreasing,"[1.9806378759312793e-13, 0]"
245,IPG,increasing,"[0.0, 0]"
246,IQV,decreasing/RTC,"[0.0011258634575581628, 5.024869409453459e-13]"
247,IR,increasing,"[0.0, 0.0]"
248,IRM,increasing,"[0.0, 0]"
249,ISRG,increasing,"[0.0, 0]"
250,IT,increasing,"[0.014390197772117697, 0.022109539164983483]"
251,ITW,increasing,"[0.0, 2.0893220487039343e-09]"
252,IVZ,decreasing,"[0.032233295957895924, 0]"
253,J,decreasing/RTC,"[3.6463780370254995e-05, 0.0]"
254,JBHT,increasing,"[0.01850446277488338, 0.0]"
255,JCI,increasing,"[0.004802325407595731, 0.0004558943724524145]"
256,JKHY,decreasing/RTC,"[0.0, 0.0]"
257,JNJ,decreasing/RTC,"[1.0557215732731606e-06, 8.79252226582139e-12]"
258,JNPR,no change,"[0.17450017405236684, 0]"
259,JPM,increasing,"[0.0, 0.0]"
260,K,decreasing,"[0.0, 7.96040079340532e-05]"
261,KDP,decreasing,"[0.0, 0]"
262,KEY,decreasing,"[0.0, 0]"
263,KEYS,decreasing/RTC,"[9.121828537184129e-06, 0.21502867714589424]"
264,KHC,increasing/RTC,"[6.927791673660977e-14, 8.659739592076221e-15]"
265,KIM,decreasing/RTC,"[2.0773893716352632e-10, 6.328937374178167e-12]"
266,KLAC,increasing,"[4.271034637071125e-10, 5.470757180603414e-10]"
267,KMB,increasing,"[4.065459080493383e-11, 0]"
268,KMI,decreasing,"[4.440892098500626e-16, 0]"
269,KMX,decreasing/RTC,"[0.01029274579842987, 1.354472090042691e-14]"
270,KO,increasing/RTC,"[8.17979297829119e-05, 0.461813394028886]"
271,KR,increasing,"[0.00034045180835451383, 0]"
272,L,increasing,"[2.078381911019278e-11, 0.0]"
273,LDOS,decreasing,"[4.218847493575595e-15, 0]"
274,LEN,increasing,"[0.0, 0]"
275,LH,no change/RTC,"[0.3953760911169599, 0.0]"
276,LHX,decreasing,"[0.0, 0]"
277,LIN,increasing,"[0.0, 3.1754598950328727e-12]"
278,LKQ,increasing/RTC,"[0.0, 0.5126600991709851]"
279,LLY,increasing,"[0.0, 0]"
280,LMT,no change,"[0.623775215447083, 0]"
281,LNC,decreasing,"[0.0, 0]"
282,LNT,decreasing/RTC,"[1.6857403630776702e-06, 0.4073627160297346]"
283,LOW,increasing,"[0.011779421221915554, 1.503241975342462e-13]"
284,LRCX,increasing,"[0.0, 1.567634910770721e-13]"
285,LUV,decreasing/RTC,"[0.0, 6.554494875743444e-06]"
286,LVS,increasing,"[0.0, 0]"
287,LW,increasing,"[0.0, 0]"
288,LYB,increasing,"[0.0, 0]"
289,LYV,decreasing/RTC,"[0.0, 9.511412422114063e-07]"
290,MA,increasing,"[0.0, 0]"
291,MAA,decreasing,"[0.0, 0]"
292,MAR,increasing,"[0.0, 0]"
293,MAS,increasing,"[0.0003227326404136033, 2.7977620220553945e-14]"
294,MCD,increasing,"[0.0, 0]"
295,MCHP,increasing,"[0.0, 4.8238599559269346e-08]"
296,MCK,no change/RTC,"[0.060499897121353285, 6.291722698392732e-11]"
297,MCO,increasing,"[1.992184195387381e-12, 1.2327751486296279e-08]"
298,MDLZ,increasing,"[0.0, 0]"
299,MDT,no change,"[0.051167644386052924, 0]"
300,MET,decreasing,"[0.0, 0]"
301,META,increasing,"[0.0, 0]"
302,MGM,increasing,"[0.0, 0]"
303,MHK,no change,"[0.5592385200597354, 0]"
304,MKC,increasing,"[6.401545959988653e-13, 0]"
305,MKTX,increasing/RTC,"[0.0, 8.126832540256146e-14]"
306,MLM,increasing,"[0.0, 0]"
307,MMC,increasing,"[0.0, 0]"
308,MMM,decreasing/RTC,"[0.0, 3.012243015021454e-07]"
309,MNST,increasing,"[0.0, 0]"
310,MO,increasing/RTC,"[2.144977462315012e-08, 0.3753034910331725]"
311,MOH,decreasing,"[0.0, 0]"
312,MOS,decreasing,"[0.0, 0]"
313,MPC,increasing,"[0.0, 0]"
314,MPWR,increasing,"[9.603963535553817e-08, 1.3060872716685878e-07]"
315,MRK,increasing,"[0.0, 0]"
